message;severity;node;stamp;location
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=8.555745])";"30";"turtlesim1.sim";"1726576700.493059642";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=8.482655])";"30";"turtlesim2.sim";"1726576700.493067101";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=8.468037])";"30";"turtlesim3.sim";"1726576700.499687556";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=8.570363])";"30";"turtlesim1.sim";"1726576700.509408969";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=8.497273])";"30";"turtlesim2.sim";"1726576700.509415070";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=8.482655])";"30";"turtlesim3.sim";"1726576700.515743297";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=8.511891])";"30";"turtlesim2.sim";"1726576700.524881770";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=8.497273])";"30";"turtlesim3.sim";"1726576700.531707940";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=8.526509])";"30";"turtlesim2.sim";"1726576700.541523261";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=8.599599])";"30";"turtlesim1.sim";"1726576700.541624135";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=8.511891])";"30";"turtlesim3.sim";"1726576700.547762622";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=8.541127])";"30";"turtlesim2.sim";"1726576700.557167092";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=8.614217])";"30";"turtlesim1.sim";"1726576700.557366189";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=8.526509])";"30";"turtlesim3.sim";"1726576700.563860673";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=8.599599])";"30";"turtlesim2.sim";"1726576700.620843089";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=8.584981])";"30";"turtlesim3.sim";"1726576700.627981484";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=8.687307])";"30";"turtlesim1.sim";"1726576700.636882071";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=8.614217])";"30";"turtlesim2.sim";"1726576700.637010456";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=8.599599])";"30";"turtlesim3.sim";"1726576700.644114307";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=8.628835])";"30";"turtlesim2.sim";"1726576700.653194455";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=8.701924])";"30";"turtlesim1.sim";"1726576700.653258114";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=8.614217])";"30";"turtlesim3.sim";"1726576700.660267516";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=8.643453])";"30";"turtlesim2.sim";"1726576700.669610487";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=8.716542])";"30";"turtlesim1.sim";"1726576700.669579334";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=8.628835])";"30";"turtlesim3.sim";"1726576700.675603792";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=8.658071])";"30";"turtlesim2.sim";"1726576700.684750595";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=8.731160])";"30";"turtlesim1.sim";"1726576700.684866958";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=8.643453])";"30";"turtlesim3.sim";"1726576700.691765037";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=8.745778])";"30";"turtlesim1.sim";"1726576700.700891140";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=8.672689])";"30";"turtlesim2.sim";"1726576700.700910106";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=8.658071])";"30";"turtlesim3.sim";"1726576700.707895449";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=8.760396])";"30";"turtlesim1.sim";"1726576700.717111608";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=8.687307])";"30";"turtlesim2.sim";"1726576700.717268827";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=8.672689])";"30";"turtlesim3.sim";"1726576700.723987531";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=8.701924])";"30";"turtlesim2.sim";"1726576700.733429963";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=8.775014])";"30";"turtlesim1.sim";"1726576700.733521400";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=8.687307])";"30";"turtlesim3.sim";"1726576700.740129897";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=8.789632])";"30";"turtlesim1.sim";"1726576700.748738961";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=8.716542])";"30";"turtlesim2.sim";"1726576700.748730149";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=8.701924])";"30";"turtlesim3.sim";"1726576700.756558958";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=8.804250])";"30";"turtlesim1.sim";"1726576700.764997349";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=8.731160])";"30";"turtlesim2.sim";"1726576700.765133234";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=8.716542])";"30";"turtlesim3.sim";"1726576700.771755973";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=8.818868])";"30";"turtlesim1.sim";"1726576700.781378407";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=8.745778])";"30";"turtlesim2.sim";"1726576700.781357613";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=8.731160])";"30";"turtlesim3.sim";"1726576700.787864630";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=8.760396])";"30";"turtlesim2.sim";"1726576700.796554100";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=8.833486])";"30";"turtlesim1.sim";"1726576700.797621039";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=8.745778])";"30";"turtlesim3.sim";"1726576700.804183695";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=8.775014])";"30";"turtlesim2.sim";"1726576700.812776085";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=8.848104])";"30";"turtlesim1.sim";"1726576700.812940713";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=8.760396])";"30";"turtlesim3.sim";"1726576700.820171211";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=8.862722])";"30";"turtlesim1.sim";"1726576700.829124928";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=8.789632])";"30";"turtlesim2.sim";"1726576700.829118009";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=8.775014])";"30";"turtlesim3.sim";"1726576700.836169075";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=8.877340])";"30";"turtlesim1.sim";"1726576700.845375234";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=8.804250])";"30";"turtlesim2.sim";"1726576700.845375168";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=8.789632])";"30";"turtlesim3.sim";"1726576700.852104823";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=8.818868])";"30";"turtlesim2.sim";"1726576700.860640912";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=8.891958])";"30";"turtlesim1.sim";"1726576700.860727690";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=8.804250])";"30";"turtlesim3.sim";"1726576700.868092870";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=8.833486])";"30";"turtlesim2.sim";"1726576700.877207498";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=8.906576])";"30";"turtlesim1.sim";"1726576700.877171305";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=8.818868])";"30";"turtlesim3.sim";"1726576700.884051931";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=8.921194])";"30";"turtlesim1.sim";"1726576700.892731734";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=8.848104])";"30";"turtlesim2.sim";"1726576700.892735781";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=8.833486])";"30";"turtlesim3.sim";"1726576700.900018216";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=8.862722])";"30";"turtlesim2.sim";"1726576700.909180333";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=8.935812])";"30";"turtlesim1.sim";"1726576700.909180639";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=8.848104])";"30";"turtlesim3.sim";"1726576700.915971017";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=8.877340])";"30";"turtlesim2.sim";"1726576700.924580999";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=8.950430])";"30";"turtlesim1.sim";"1726576700.924558287";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=8.862722])";"30";"turtlesim3.sim";"1726576700.932012694";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=8.891958])";"30";"turtlesim2.sim";"1726576700.940812600";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=8.965048])";"30";"turtlesim1.sim";"1726576700.940878213";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=8.877340])";"30";"turtlesim3.sim";"1726576700.948031006";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=8.921194])";"30";"turtlesim3.sim";"1726576700.996178758";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=8.950430])";"30";"turtlesim2.sim";"1726576701.004841920";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=9.023520])";"30";"turtlesim1.sim";"1726576701.005465288";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=8.950430])";"30";"turtlesim3.sim";"1726576701.028339195";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=9.052756])";"30";"turtlesim1.sim";"1726576701.037132581";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=8.979666])";"30";"turtlesim2.sim";"1726576701.037232448";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=8.965048])";"30";"turtlesim3.sim";"1726576701.044599647";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=8.994284])";"30";"turtlesim2.sim";"1726576701.053463330";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=9.067374])";"30";"turtlesim1.sim";"1726576701.053541456";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=8.979666])";"30";"turtlesim3.sim";"1726576701.059908276";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=9.081992])";"30";"turtlesim1.sim";"1726576701.068709862";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=9.008902])";"30";"turtlesim2.sim";"1726576701.068639054";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=8.994284])";"30";"turtlesim3.sim";"1726576701.076110082";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=9.096609])";"30";"turtlesim1.sim";"1726576701.084928820";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=9.023520])";"30";"turtlesim2.sim";"1726576701.085066623";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=9.008902])";"30";"turtlesim3.sim";"1726576701.092197368";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=9.111227])";"30";"turtlesim1.sim";"1726576701.101131889";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=9.038138])";"30";"turtlesim2.sim";"1726576701.101198639";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=9.023520])";"30";"turtlesim3.sim";"1726576701.108244276";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=9.052756])";"30";"turtlesim2.sim";"1726576701.117362846";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=9.125845])";"30";"turtlesim1.sim";"1726576701.117364960";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=9.038138])";"30";"turtlesim3.sim";"1726576701.124466405";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=9.140463])";"30";"turtlesim1.sim";"1726576701.132660127";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=9.067374])";"30";"turtlesim2.sim";"1726576701.132637224";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=9.052756])";"30";"turtlesim3.sim";"1726576701.140558100";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=9.155081])";"30";"turtlesim1.sim";"1726576701.148785941";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=9.081992])";"30";"turtlesim2.sim";"1726576701.148843259";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=9.067374])";"30";"turtlesim3.sim";"1726576701.155595380";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=9.096609])";"30";"turtlesim2.sim";"1726576701.165068079";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=9.169699])";"30";"turtlesim1.sim";"1726576701.165057304";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=9.081992])";"30";"turtlesim3.sim";"1726576701.172214138";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=9.111227])";"30";"turtlesim2.sim";"1726576701.181338668";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=9.184317])";"30";"turtlesim1.sim";"1726576701.181392013";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=9.096609])";"30";"turtlesim3.sim";"1726576701.188241547";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=9.125845])";"30";"turtlesim2.sim";"1726576701.196608785";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=9.198935])";"30";"turtlesim1.sim";"1726576701.196652121";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=9.111227])";"30";"turtlesim3.sim";"1726576701.204201682";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=9.213553])";"30";"turtlesim1.sim";"1726576701.212964204";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=9.140463])";"30";"turtlesim2.sim";"1726576701.212921009";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=9.125845])";"30";"turtlesim3.sim";"1726576701.220189075";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=9.228171])";"30";"turtlesim1.sim";"1726576701.229273492";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=9.155081])";"30";"turtlesim2.sim";"1726576701.229231959";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=9.140463])";"30";"turtlesim3.sim";"1726576701.236102162";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=9.169699])";"30";"turtlesim2.sim";"1726576701.245564611";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=9.242789])";"30";"turtlesim1.sim";"1726576701.245631982";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=9.155081])";"30";"turtlesim3.sim";"1726576701.252112610";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=9.257407])";"30";"turtlesim1.sim";"1726576701.260964095";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=9.184317])";"30";"turtlesim2.sim";"1726576701.261067068";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=9.169699])";"30";"turtlesim3.sim";"1726576701.268071000";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=9.198935])";"30";"turtlesim2.sim";"1726576701.276597045";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=9.272025])";"30";"turtlesim1.sim";"1726576701.276666260";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=9.184317])";"30";"turtlesim3.sim";"1726576701.284115873";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=9.213553])";"30";"turtlesim2.sim";"1726576701.293176620";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=9.286643])";"30";"turtlesim1.sim";"1726576701.293229063";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=9.198935])";"30";"turtlesim3.sim";"1726576701.300125510";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=9.301261])";"30";"turtlesim1.sim";"1726576701.309527957";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=9.228171])";"30";"turtlesim2.sim";"1726576701.309483173";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=9.213553])";"30";"turtlesim3.sim";"1726576701.316094319";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=9.315879])";"30";"turtlesim1.sim";"1726576701.324696517";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=9.242789])";"30";"turtlesim2.sim";"1726576701.324696431";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=9.228171])";"30";"turtlesim3.sim";"1726576701.332053025";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=9.330497])";"30";"turtlesim1.sim";"1726576701.340855488";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=9.257407])";"30";"turtlesim2.sim";"1726576701.340902762";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=9.242789])";"30";"turtlesim3.sim";"1726576701.348056075";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=9.272025])";"30";"turtlesim2.sim";"1726576701.357160457";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=9.345115])";"30";"turtlesim1.sim";"1726576701.357204676";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=9.257407])";"30";"turtlesim3.sim";"1726576701.364144719";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=9.359733])";"30";"turtlesim1.sim";"1726576701.372664051";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=9.286643])";"30";"turtlesim2.sim";"1726576701.372670113";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=9.272025])";"30";"turtlesim3.sim";"1726576701.380206163";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=9.374351])";"30";"turtlesim1.sim";"1726576701.389087073";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=9.301261])";"30";"turtlesim2.sim";"1726576701.389169708";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=9.286643])";"30";"turtlesim3.sim";"1726576701.396370059";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=9.315879])";"30";"turtlesim2.sim";"1726576701.405521836";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=9.388969])";"30";"turtlesim1.sim";"1726576701.405535692";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=9.301261])";"30";"turtlesim3.sim";"1726576701.411677920";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=9.330497])";"30";"turtlesim2.sim";"1726576701.420864112";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=9.403587])";"30";"turtlesim1.sim";"1726576701.421345754";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=9.315879])";"30";"turtlesim3.sim";"1726576701.427966429";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=9.418205])";"30";"turtlesim1.sim";"1726576701.436576973";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=9.345115])";"30";"turtlesim2.sim";"1726576701.437365555";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=9.330497])";"30";"turtlesim3.sim";"1726576701.444091843";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=9.359733])";"30";"turtlesim2.sim";"1726576701.452874609";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=9.432823])";"30";"turtlesim1.sim";"1726576701.452887523";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=9.345115])";"30";"turtlesim3.sim";"1726576701.460113421";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=9.447441])";"30";"turtlesim1.sim";"1726576701.469007656";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=9.374351])";"30";"turtlesim2.sim";"1726576701.469092325";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.028466, y=9.359733])";"30";"turtlesim3.sim";"1726576701.476049686";"./src/turtle.cpp:update:260"
